Shot Type,PNR BH,PNR SC,DHO BH,DHO SC,DBL BH,DBL SC,ISO,TRAN,ACO,C/S,OBS,CUT,OREB
shoot2FGA,4,1,10,0,0,0,10,12,7,2,8,9,5
shoot2FGM,1,1,4,0,0,0,7,4,3,2,4,7,3
shoot2FTA,0,0,2,0,0,0,1,5,6,0,2,3,0
shoot2FTM,0,0,2,0,0,0,1,4,4,0,2,3,0
shoot2TO,0,0,0,0,0,0,0,0,2,0,1,0,0
shoot3FGA,0,0,16,0,0,0,3,16,6,42,14,0,0
shoot3FGM,0,0,5,0,0,0,2,9,1,17,6,0,0
shoot3FTA,0,0,0,0,0,0,0,0,0,0,2,0,0
shoot3FTM,0,0,0,0,0,0,0,0,0,0,1,0,0
shoot3TO,0,0,0,0,0,0,0,0,0,0,0,0,0
pass2FGA,1,0,1,0,0,0,3,6,3,1,1,0,0
pass2FGM,1,0,0,0,0,0,2,6,1,1,0,0,0
pass2FTA,0,0,0,0,0,0,0,2,0,0,0,0,0
pass2FTM,0,0,0,0,0,0,0,2,0,0,0,0,0
pass2TO,0,0,0,0,0,0,0,0,0,0,1,0,0
pass3FGA,0,0,3,0,0,0,4,12,1,0,2,1,2
pass3FGM,0,0,1,0,0,0,2,3,1,0,1,1,0
pass3FTA,0,0,0,0,0,0,0,0,0,0,0,0,0
pass3FTM,0,0,0,0,0,0,0,0,0,0,0,0,0
pass3TO,0,0,0,0,0,0,0,2,0,0,0,0,0
