,Total PPP,% of Poss.,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
EMBIID,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
REED,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
TUCKER,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
HARRELL,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
OTHERS,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
ISO,0.0,12.5%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,0.0,33.3%,N/A,0,N/A,0,N/A
Transition,2.0,12.5%,100.0%,N/A,0.0%,N/A,0,N/A,0,N/A,2.0,33.3%,100.0%,1,100.0%,0,N/A
Attacking Closeouts,1.0,37.5%,50.0%,0.0,40.0%,0.0%,1,0.0%,0,N/A,3.0,33.3%,100.0%,0,N/A,1,100.0%
Catch & Shoot,0.0,25.0%,0.0%,0.0,40.0%,0.0%,0,N/A,2,0.0%,N/A,0.0%,N/A,0,N/A,0,N/A
Off Ball Screens,2.0,12.5%,100.0%,2.0,20.0%,100.0%,1,100.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Cutting,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Off. Rebounds,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
PNR / DHO,N/A,0.0%,nan%,N/A,N/A,nan%,0,nan%,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A
TOTAL,0.88,8,50.0%,0.4,62.5%,25.0%,2,50.0%,2,0.0%,1.67,37.5%,100.0%,1,100.0%,1,100.0%
